time,state,altitude_m,rotation_x_deg,rotation_y_deg,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,roll_rate_deg_s,control_allowed,fin_command
1782241191.8559122,IDLE,-0.06,-2.046270177824905,-84.69679229716202,-4.469070802020421,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241191.8666258,IDLE,-0.06,-2.046270177824905,-84.69679229716202,-4.469070802020421,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241191.8773422,IDLE,-0.06,-1.9112169406717283,-84.67964803400415,-4.411775022507339,0.40107045659157625,0.17188733853924698,0.17188733853924698,False,0.0
1782241191.887778,IDLE,-0.06,-1.9112169406717283,-84.67964803400415,-4.411775022507339,0.40107045659157625,0.17188733853924698,0.17188733853924698,False,0.0
1782241191.898468,IDLE,-0.06,-1.9112169406717283,-84.67964803400415,-4.411775022507339,0.40107045659157625,0.17188733853924698,0.17188733853924698,False,0.0
1782241191.909226,IDLE,-0.06,-1.9112169406717283,-84.67964803400415,-4.411775022507339,0.40107045659157625,0.17188733853924698,0.17188733853924698,False,0.0
1782241191.9196124,IDLE,-0.06,-1.9112169406717283,-84.67964803400415,-4.411775022507339,0.40107045659157625,0.17188733853924698,0.17188733853924698,False,0.0
1782241191.9301336,IDLE,-0.08,-1.8863593435829542,-84.47784714405236,-4.411775022507339,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241191.9407728,IDLE,-0.08,-1.8863593435829542,-84.47784714405236,-4.411775022507339,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241191.9511654,IDLE,-0.08,-1.8863593435829542,-84.47784714405236,-4.411775022507339,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241191.9614284,IDLE,-0.08,-1.8863593435829542,-84.47784714405236,-4.411775022507339,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241191.9721994,IDLE,-0.08,-1.8863593435829542,-84.47784714405236,-4.411775022507339,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241191.9830267,IDLE,-0.08,-1.8595346882836485,-84.48456342755411,-4.469070802020421,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241191.9933288,IDLE,-0.08,-1.8595346882836485,-84.48456342755411,-4.469070802020421,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.003884,IDLE,-0.08,-1.8595346882836485,-84.48456342755411,-4.469070802020421,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.0145042,IDLE,-0.08,-1.8595346882836485,-84.48456342755411,-4.469070802020421,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.025248,IDLE,-0.08,-1.8595346882836485,-84.48456342755411,-4.469070802020421,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.0357654,IDLE,-0.09,-1.7838274912956995,-84.58326270166476,-4.297183463481174,0.4583662361046586,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.0463464,IDLE,-0.09,-1.7838274912956995,-84.58326270166476,-4.297183463481174,0.4583662361046586,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.056994,IDLE,-0.09,-1.7838274912956995,-84.58326270166476,-4.297183463481174,0.4583662361046586,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.0677822,IDLE,-0.09,-1.7838274912956995,-84.58326270166476,-4.297183463481174,0.4583662361046586,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.078506,IDLE,-0.09,-2.0218624128826317,-84.57476656389291,-4.411775022507339,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.0890121,IDLE,-0.09,-2.0218624128826317,-84.57476656389291,-4.411775022507339,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.0995984,IDLE,-0.09,-2.0218624128826317,-84.57476656389291,-4.411775022507339,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.1103828,IDLE,-0.09,-2.0218624128826317,-84.57476656389291,-4.411775022507339,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.120904,IDLE,-0.09,-2.0218624128826317,-84.57476656389291,-4.411775022507339,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.1319063,IDLE,-0.11,-2.0691889840879636,-84.61437469972226,-4.469070802020421,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.1426363,IDLE,-0.11,-2.0691889840879636,-84.61437469972226,-4.469070802020421,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.1531782,IDLE,-0.11,-2.0691889840879636,-84.61437469972226,-4.469070802020421,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.164028,IDLE,-0.11,-2.0691889840879636,-84.61437469972226,-4.469070802020421,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.1744814,IDLE,-0.11,-2.0691889840879636,-84.61437469972226,-4.469070802020421,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.1849606,IDLE,-0.11,-1.9125865520297542,-84.52486902229032,-4.469070802020421,0.4583662361046586,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.1953561,IDLE,-0.11,-1.9125865520297542,-84.52486902229032,-4.469070802020421,0.4583662361046586,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.2060757,IDLE,-0.11,-1.9125865520297542,-84.52486902229032,-4.469070802020421,0.4583662361046586,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.2169929,IDLE,-0.11,-1.9125865520297542,-84.52486902229032,-4.469070802020421,0.4583662361046586,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.2275777,IDLE,-0.11,-1.963302028894084,-84.47886830784455,-4.469070802020421,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.238223,IDLE,-0.1,-1.963302028894084,-84.47886830784455,-4.469070802020421,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.2489882,IDLE,-0.1,-1.963302028894084,-84.47886830784455,-4.469070802020421,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.259487,IDLE,-0.1,-1.963302028894084,-84.47886830784455,-4.469070802020421,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.2701335,IDLE,-0.1,-1.963302028894084,-84.47886830784455,-4.469070802020421,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.2808332,IDLE,-0.1,-1.9412191550602136,-84.51250809230788,-4.469070802020421,0.40107045659157625,0.17188733853924698,0.17188733853924698,False,0.0
1782241192.2913008,IDLE,-0.1,-1.9412191550602136,-84.51250809230788,-4.469070802020421,0.40107045659157625,0.17188733853924698,0.17188733853924698,False,0.0
1782241192.3016503,IDLE,-0.1,-1.9412191550602136,-84.51250809230788,-4.469070802020421,0.40107045659157625,0.17188733853924698,0.17188733853924698,False,0.0
1782241192.3119218,IDLE,-0.1,-1.9412191550602136,-84.51250809230788,-4.469070802020421,0.40107045659157625,0.17188733853924698,0.17188733853924698,False,0.0
1782241192.3222778,IDLE,-0.1,-1.9412191550602136,-84.51250809230788,-4.469070802020421,0.40107045659157625,0.17188733853924698,0.17188733853924698,False,0.0
1782241192.3330536,IDLE,-0.14,-1.8529841100292794,-84.58241267562994,-4.354479242994256,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.3438756,IDLE,-0.14,-1.8529841100292794,-84.58241267562994,-4.354479242994256,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.354769,IDLE,-0.14,-1.8529841100292794,-84.58241267562994,-4.354479242994256,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.3655477,IDLE,-0.14,-1.8529841100292794,-84.58241267562994,-4.354479242994256,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.3762314,IDLE,-0.14,-1.8529841100292794,-84.58241267562994,-4.354479242994256,0.40107045659157625,0.2864788975654116,0.2864788975654116,False,0.0
1782241192.3866715,IDLE,-0.14,-2.0490982650429377,-84.41564185525276,-4.469070802020421,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.3970826,IDLE,-0.14,-2.0490982650429377,-84.41564185525276,-4.469070802020421,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.407859,IDLE,-0.14,-2.0490982650429377,-84.41564185525276,-4.469070802020421,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.418712,IDLE,-0.14,-2.0490982650429377,-84.41564185525276,-4.469070802020421,0.40107045659157625,0.2291831180523293,0.2291831180523293,False,0.0
1782241192.429157,IDLE,-0.14,-1.940599849946569,-84.61307579241452,-4.354479242994256,0.4583662361046586,0.2291831180523293,0.2291831180523293,False,0.0
