timestamp,type,raw,parsed
2026-08-12T19:59:48.626+00:00,BIN,"BIN,ver=1,type=1,seq=28971,ts=29,lat=0,lon=0,alt_mm=1480,speed_cms=0,heading_cd=62814,pitch_cd=916,roll_cd=-5,yaw_cd=-328,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":28971,""ts"":29,""lat"":0,""lon"":0,""alt_mm"":1480,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":916,""roll_cd"":-5,""yaw_cd"":-328,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:48.708+00:00,BIN,"BIN,ver=1,type=1,seq=28971,ts=29,lat=0,lon=0,alt_mm=1480,speed_cms=0,heading_cd=62814,pitch_cd=919,roll_cd=-63,yaw_cd=-195,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":28971,""ts"":29,""lat"":0,""lon"":0,""alt_mm"":1480,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":919,""roll_cd"":-63,""yaw_cd"":-195,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:49.295+00:00,BIN,"BIN,ver=1,type=1,seq=29672,ts=29,lat=0,lon=0,alt_mm=700,speed_cms=0,heading_cd=62814,pitch_cd=789,roll_cd=49,yaw_cd=-136,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":29672,""ts"":29,""lat"":0,""lon"":0,""alt_mm"":700,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":789,""roll_cd"":49,""yaw_cd"":-136,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:49.715+00:00,BIN,"BIN,ver=1,type=1,seq=30071,ts=30,lat=0,lon=0,alt_mm=640,speed_cms=0,heading_cd=62814,pitch_cd=1104,roll_cd=-225,yaw_cd=-266,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":30071,""ts"":30,""lat"":0,""lon"":0,""alt_mm"":640,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1104,""roll_cd"":-225,""yaw_cd"":-266,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:49.799+00:00,BIN,"BIN,ver=1,type=1,seq=30071,ts=30,lat=0,lon=0,alt_mm=640,speed_cms=0,heading_cd=62814,pitch_cd=887,roll_cd=64,yaw_cd=-114,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":30071,""ts"":30,""lat"":0,""lon"":0,""alt_mm"":640,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":887,""roll_cd"":64,""yaw_cd"":-114,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:51.058+00:00,BIN,"BIN,ver=1,type=1,seq=31471,ts=31,lat=0,lon=0,alt_mm=630,speed_cms=0,heading_cd=62814,pitch_cd=870,roll_cd=13,yaw_cd=-297,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":31471,""ts"":31,""lat"":0,""lon"":0,""alt_mm"":630,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":870,""roll_cd"":13,""yaw_cd"":-297,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:51.229+00:00,BIN,"BIN,ver=1,type=1,seq=31663,ts=31,lat=0,lon=0,alt_mm=600,speed_cms=0,heading_cd=62814,pitch_cd=1034,roll_cd=-26,yaw_cd=-388,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":31663,""ts"":31,""lat"":0,""lon"":0,""alt_mm"":600,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1034,""roll_cd"":-26,""yaw_cd"":-388,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:52.740+00:00,BIN,"BIN,ver=1,type=1,seq=33020,ts=33,lat=0,lon=0,alt_mm=780,speed_cms=0,heading_cd=62814,pitch_cd=1079,roll_cd=78,yaw_cd=-232,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":33020,""ts"":33,""lat"":0,""lon"":0,""alt_mm"":780,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1079,""roll_cd"":78,""yaw_cd"":-232,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:52.823+00:00,BIN,"BIN,ver=1,type=1,seq=33131,ts=33,lat=0,lon=0,alt_mm=780,speed_cms=0,heading_cd=62814,pitch_cd=1053,roll_cd=32,yaw_cd=-33,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":33131,""ts"":33,""lat"":0,""lon"":0,""alt_mm"":780,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1053,""roll_cd"":32,""yaw_cd"":-33,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:52.911+00:00,BIN,"BIN,ver=1,type=1,seq=33131,ts=33,lat=0,lon=0,alt_mm=780,speed_cms=0,heading_cd=62814,pitch_cd=1053,roll_cd=32,yaw_cd=-33,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":33131,""ts"":33,""lat"":0,""lon"":0,""alt_mm"":780,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1053,""roll_cd"":32,""yaw_cd"":-33,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:53.090+00:00,BIN,"BIN,ver=1,type=1,seq=33411,ts=33,lat=0,lon=0,alt_mm=810,speed_cms=0,heading_cd=62814,pitch_cd=1006,roll_cd=-24,yaw_cd=43,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":33411,""ts"":33,""lat"":0,""lon"":0,""alt_mm"":810,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1006,""roll_cd"":-24,""yaw_cd"":43,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:53.158+00:00,BIN,"BIN,ver=1,type=1,seq=33601,ts=33,lat=0,lon=0,alt_mm=810,speed_cms=0,heading_cd=62814,pitch_cd=1110,roll_cd=-82,yaw_cd=-36,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":33601,""ts"":33,""lat"":0,""lon"":0,""alt_mm"":810,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1110,""roll_cd"":-82,""yaw_cd"":-36,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:53.241+00:00,BIN,"BIN,ver=1,type=1,seq=33601,ts=33,lat=0,lon=0,alt_mm=810,speed_cms=0,heading_cd=62814,pitch_cd=1110,roll_cd=-82,yaw_cd=-36,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":33601,""ts"":33,""lat"":0,""lon"":0,""alt_mm"":810,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1110,""roll_cd"":-82,""yaw_cd"":-36,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:53.409+00:00,BIN,"BIN,ver=1,type=1,seq=33712,ts=33,lat=0,lon=0,alt_mm=780,speed_cms=0,heading_cd=62814,pitch_cd=924,roll_cd=-154,yaw_cd=57,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":33712,""ts"":33,""lat"":0,""lon"":0,""alt_mm"":780,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":924,""roll_cd"":-154,""yaw_cd"":57,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:53.494+00:00,BIN,"BIN,ver=1,type=1,seq=33827,ts=33,lat=0,lon=0,alt_mm=770,speed_cms=0,heading_cd=62814,pitch_cd=922,roll_cd=-137,yaw_cd=-164,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":33827,""ts"":33,""lat"":0,""lon"":0,""alt_mm"":770,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":922,""roll_cd"":-137,""yaw_cd"":-164,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:53.577+00:00,BIN,"BIN,ver=1,type=1,seq=33827,ts=33,lat=0,lon=0,alt_mm=760,speed_cms=0,heading_cd=62814,pitch_cd=1010,roll_cd=-80,yaw_cd=-193,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":33827,""ts"":33,""lat"":0,""lon"":0,""alt_mm"":760,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1010,""roll_cd"":-80,""yaw_cd"":-193,""bat_mv"":0,""status"":2}"
